id,power_plant,code_cwape,operator,location,nominal_power,lat,lon,brand,type,state
Beaumont3,Beaumont,0,GESTAMP,BEAUMONT-Froidchapelle (2),2,50.206369,4.310293,Senvion,MM92,En fonction
Beaumont4,Beaumont,0,GESTAMP,BEAUMONT-Froidchapelle (2),2,50.210508,4.31655,Senvion,MM92,En fonction
Beaumont5,Beaumont,0,GESTAMP,BEAUMONT-Froidchapelle (2),2,50.203211,4.32415,Senvion,MM92,En fonction
Berloz,Berloz,7055,EDF LUMINUS,Berloz,2,50.69819,5.193557,Vestas,V90,En fonction
Berloz1,Berloz,7055,EDF LUMINUS,Berloz,2,50.697281,5.187341,Vestas,V90,En fonction
Berloz2,Berloz,7055,EDF LUMINUS,Berloz,2,50.696246,5.179793,Vestas,V90,En fonction
Berloz3,Berloz,0,None,Berloz extension (+ Geer),2.5,50.69403,5.19456,Gamesa,G114,En fonction
Berloz4,Berloz,0,None,Berloz extension (+ Geer),2.5,50.692381,5.188615,Gamesa,G114,En fonction
Berloz5,Berloz,0,None,Berloz extension (+ Geer),2.5,50.690797,5.182487,Gamesa,G114,En fonction
Berloz6,Berloz,9562,EDF LUMINUS,Berloz extension (+ Geer),2.5,50.694047,5.194589,Gamesa,G114,En fonction
Berloz7,Berloz,9562,EDF LUMINUS,Berloz extension (+ Geer),2.5,50.692399,5.188601,Gamesa,G114,En fonction
Berloz8,Berloz,9562,EDF LUMINUS,Berloz extension (+ Geer),2.5,50.69085,5.182559,Gamesa,G114,En fonction
Berloz9,Berloz,9572,EDF LUMINUS,Berloz extension (+ Geer),2.5,50.684576,5.190078,Gamesa,G114,En fonction
Bièvre,Bièvre,7999,EDF LUMINUS,Bièvre 2,2,49.95633,5.010297,Vestas,V90,En fonction
Bièvre1,Bièvre,7999,EDF LUMINUS,Bièvre 2,2,49.953822,5.013483,Vestas,V90,En fonction
Bièvre2,Bièvre,7999,EDF LUMINUS,Bièvre 2,2,49.9528,5.016033,Vestas,V90,En fonction
Bièvre3,Bièvre,7999,EDF LUMINUS,Bièvre 2,2,49.953248,5.019537,Vestas,V90,En fonction
Bièvre4,Bièvre,7999,EDF LUMINUS,Bièvre 2,2,49.953461,5.023288,Vestas,V90,En fonction
Bièvre5,Bièvre,7999,EDF LUMINUS,Bièvre 2,2,49.956007,5.032312,Vestas,V90,En fonction
Bièvre6,Bièvre,7999,EDF LUMINUS,Bièvre 2,2,49.954693,5.027918,Vestas,V90,En fonction
Bourcy,Bourcy,7987,RPC,Bastogne- Bourcy,2.5,50.063971,5.780178,Fuhrlander,FL 2500 2500kW,En fonction
Bourcy1,Bourcy,7987,RPC,Bastogne- Bourcy,2.5,50.061892,5.784712,Fuhrlander,FL 2500 2500kW,En fonction
Bourcy2,Bourcy,7987,RPC,Bastogne- Bourcy,2.5,50.058935,5.788955,Fuhrlander,FL 2500 2500kW,En fonction
Bourcy3,Bourcy,7987,RPC,Bastogne- Bourcy,2.5,50.055949,5.792679,Fuhrlander,FL 2500 2500kW,En fonction
Bourcy4,Bourcy,7987,RPC,Bastogne- Bourcy,2.5,50.051252,5.797273,Fuhrlander,FL 2500 2500kW,En fonction
Bourcy5,Bourcy,7987,RPC,Bastogne- Bourcy,2.5,50.047993,5.790291,Fuhrlander,FL 2500 2500kW,En fonction
Bourcy6,Bourcy,7987,RPC,Bastogne- Bourcy,2.5,50.042352,5.783212,Fuhrlander,FL 2500 2500kW,En fonction
Bronromme,Bronromme,117,A+Energies,Theux,0.33,50.442978,5.803877,Enercon,E33,En fonction
Büllingen,Büllingen,7906,Engie Electrabel,Bullange,2,50.398716,6.318911,Vestas,V80,En fonction
Büllingen1,Büllingen,7906,Engie Electrabel,Bullange,2,50.395701,6.321742,Vestas,V80,En fonction
Büllingen2,Büllingen,7906,Engie Electrabel,Bullange,2,50.393095,6.323239,Vestas,V80,En fonction
Büllingen3,Büllingen,7906,Engie Electrabel,Bullange,2,50.390917,6.32547,Vestas,V80,En fonction
Büllingen4,Büllingen,7906,Engie Electrabel,Bullange,2,50.392812,6.31812,Vestas,V80,En fonction
Büllingen5,Büllingen,7906,Engie Electrabel,Bullange,2,50.39013,6.320387,Vestas,V80,En fonction
Bütgenbach,Bütgenbach,70,Engie Electrabel,Bütgenbach,2,50.448093,6.239422,Vestas,V80,En fonction
Bütgenbach1,Bütgenbach,70,Engie Electrabel,Bütgenbach,2,50.447234,6.241966,Vestas,V80,En fonction
Bütgenbach2,Bütgenbach,70,Engie Electrabel,Bütgenbach,2,50.446188,6.244924,Vestas,V80,En fonction
Bütgenbach3,Bütgenbach,70,Engie Electrabel,Bütgenbach,2,50.442555,6.240978,Vestas,V80,En fonction
Cerfontaine,Cerfontaine,3028,GREEN WIND,Cerfontaine,2,50.180534,4.505259,Vestas,V90,En fonction
Cerfontaine1,Cerfontaine,3028,GREEN WIND,Cerfontaine,2,50.179319,4.499264,Vestas,V90,En fonction
Cerfontaine10,Cerfontaine,3028,GREEN WIND,Cerfontaine,2,50.169545,4.483083,Vestas,V90,En fonction
Cerfontaine2,Cerfontaine,3028,GREEN WIND,Cerfontaine,2,50.177264,4.48663,Vestas,V90,En fonction
Cerfontaine3,Cerfontaine,3028,GREEN WIND,Cerfontaine,2,50.178552,4.492961,Vestas,V90,En fonction
Cerfontaine4,Cerfontaine,3028,GREEN WIND,Cerfontaine,2,50.175017,4.503045,Vestas,V90,En fonction
Cerfontaine5,Cerfontaine,3028,GREEN WIND,Cerfontaine,2,50.17452,4.496702,Vestas,V90,En fonction
Cerfontaine6,Cerfontaine,3028,GREEN WIND,Cerfontaine,2,50.17397,4.490471,Vestas,V90,En fonction
Cerfontaine7,Cerfontaine,3028,GREEN WIND,Cerfontaine,2,50.17341,4.484212,Vestas,V90,En fonction
Cerfontaine8,Cerfontaine,3028,GREEN WIND,Cerfontaine,2,50.171881,4.501007,Vestas,V90,En fonction
Cerfontaine9,Cerfontaine,3028,GREEN WIND,Cerfontaine,2,50.169997,4.489341,Vestas,V90,En fonction
