timestamp,measured,forecast_panelwise,forecast_provincial,lower_provincial,upper_provincial,elia_forecast
2020-05-08 06:15:00+00:00,109.535,71.89893108575829,81.16553078546772,69.23025062005499,93.10081095088046,71.11
2020-05-08 06:45:00+00:00,128.275,99.86731527774995,107.89417811768335,92.04665613018592,123.74170010518084,101.73
2020-05-08 07:15:00+00:00,170.535,127.79539771426869,134.28922994855805,114.59354292440399,153.98491697271209,132.54999999999998
2020-05-08 07:45:00+00:00,198.6,167.7373421345574,172.89213318274616,147.52927038202327,198.2549959834691,161.67000000000004
2020-05-08 08:15:00+00:00,212.9,194.09437563984744,197.30917299074642,168.3728018876802,226.24554409381253,188.91
2020-05-08 08:45:00+00:00,241.9,218.1049318563798,219.4154292711253,187.24672157137329,251.58413697087738,211.955
2020-05-08 09:15:00+00:00,254.255,238.82374961948773,238.55203920718102,203.5773227539701,273.526755660392,231.455
2020-05-08 09:45:00+00:00,216.225,255.15741821030534,253.3992730399885,216.24561545657482,290.55293062340223,246.32
2020-05-08 10:15:00+00:00,257.64,266.2600709289962,263.29933358520714,224.6993287548663,301.89933841554796,256.915
2020-05-08 10:45:00+00:00,277.08500000000004,263.27477500551714,259.6685713895526,221.6061755004901,297.730967278615,262.80499999999995
2020-05-08 11:15:00+00:00,282.5,242.296021600704,238.5529858494156,203.57750386656173,273.52846783226954,263.075
2020-05-08 11:45:00+00:00,213.07,224.97783814358246,221.3928966586957,188.9333732712881,253.8524200461034,256.705
2020-05-08 12:15:00+00:00,185.61,202.71963731529647,199.61873762868493,170.35031705973472,228.88715819763524,245.4
2020-05-08 12:45:00+00:00,170.5,178.0906952282547,175.53295183608031,149.79708014620692,201.26882352595368,229.45
2020-05-08 13:15:00+00:00,154.48,152.90097179547294,151.11570465412657,128.95001716981065,173.2813921384425,211.765
2020-05-08 13:45:00+00:00,152.665,130.34655848135841,129.33776610754592,110.36043744966163,148.31509476543013,193.895
2020-05-08 14:15:00+00:00,137.68,112.44079682506414,112.18156285995394,95.71256382465856,128.6505618952493,175.275
2020-05-08 14:45:00+00:00,120.33,99.43672738163056,99.97478975970995,85.29002174603178,114.65955777338812,157.20499999999996
2020-05-08 15:15:00+00:00,113.96,91.21375217366906,92.715982145732,79.09338603123973,106.33857826022431,138.27499999999998
2020-05-08 15:45:00+00:00,79.07,83.67310053660727,86.44716550658916,73.7314224763073,99.16290853687102,115.355
2020-05-08 16:15:00+00:00,57.565,75.02755623598726,79.18599464863037,67.53144496906323,90.84054432819752,91.465
2020-05-08 16:45:00+00:00,47.325,62.14240774177907,67.96894904367953,57.95772784362172,77.98017024373729,68.55
2020-05-08 17:15:00+00:00,28.555,46.227124176294225,53.45187635225722,45.55907978180989,61.34467292270458,47.6
2020-05-08 17:45:00+00:00,11.415,27.976306448375546,36.29526006547592,30.88262719162962,41.70789293932222,30.015
2020-05-08 18:15:00+00:00,2.84,11.555207258850992,19.46492483920316,16.423722267104925,22.50612741130139,15.565
2020-05-08 18:45:00+00:00,0.03,2.497930689832705,5.2786466845088444,3.984740887453343,6.5725524815643475,5.51
2020-05-08 19:15:00+00:00,0.0,0.9657838423854468,0.2638189886108515,-0.4089194092861388,0.9365573865078418,0.45
2020-05-08 19:45:00+00:00,0.0,0.8394134933174509,0.2631900219349378,-0.4037517662886889,0.9301318101585646,0.0
2020-05-08 20:15:00+00:00,0.0,0.922566420058489,0.2624278860956084,-0.4086021124730565,0.9334578846642732,0.0
2020-05-08 20:45:00+00:00,0.0,0.9642107739882484,0.26430697172339873,-0.40417919317790135,0.9327931366246988,0.0
2020-05-08 21:15:00+00:00,0.0,0.95010344722817,0.2640839048233216,-0.4069398949408767,0.93510770458752,0.0
2020-05-08 21:45:00+00:00,0.0,0.930209754360914,0.2642140034086833,-0.40754583825649415,0.9359738450738608,0.0
2020-05-08 22:15:00+00:00,0.0,0.907082024360004,0.2626527312549465,-0.4060386670335682,0.9313441295434612,0.0
2020-05-08 22:45:00+00:00,0.0,0.9387234204115592,0.2642555261564131,-0.4009385950735176,0.9294496473863438,0.0
2020-05-08 23:15:00+00:00,0.0,0.9228401787302696,0.2619860023697142,-0.40784576359743,0.9318177683368584,0.0
2020-05-08 23:45:00+00:00,0.0,0.9727997245551956,0.26510442522495875,-0.4042852804506701,0.9344941309005876,0.0
2020-05-09 00:15:00+00:00,0.0,0.8683028341231056,0.25834043004912216,-0.4019454937425219,0.9186263538407662,0.0
2020-05-09 00:45:00+00:00,0.0,0.9782230390070548,0.2583986229991708,-0.4013112852605301,0.9181085312588716,0.0
2020-05-09 01:15:00+00:00,0.0,0.8888774081821555,0.2581847524040801,-0.4073762406729953,0.9237457454811556,0.0
2020-05-09 01:45:00+00:00,0.0,0.9718372608673864,0.2591796424498974,-0.402945779632762,0.9213050645325568,0.0
